,Initialization,2008-50%,2008-54%,2008-59%,2008-64%,2008-69%,2008-75%,2008-79%,2008-84%,2008-89%,2008-94%,2009-49%,2009-54%,2009-60%,2009-64%,2009-69%,2009-74%,2009-80%,2009-84%,2009-89%,2009-94%,2010-50%,2010-54%,2010-59%,2010-64%,2010-69%,2010-75%,2010-79%,2010-84%,2010-89%,2010-94%,2011-49%,2011-54%,2011-59%,2011-64%,2011-69%,2011-74%,2011-79%,2011-84%,2011-89%,2011-94%,2012-50%,2012-54%,2012-59%,2012-64%,2012-69%,2012-74%,2012-79%,2012-84%,2012-89%,2012-94%
Utah,-0.7841194023321745,5.617724021037385,6.377871623436356,6.229975641641937,5.518476650492548,5.86486197695361,5.911493943129918,5.978207950561988,6.419362068676252,6.830867573363967,6.884519152878211,1.7821180387898385,2.0720742914857277,2.154328566267662,3.1138967308370478,3.392661410160495,3.2774220755128973,3.1371209318474365,3.068642240935431,2.5662452643940385,2.3003522546301536,4.808714069433378,5.24214941800702,5.423091506959086,5.454170008675077,5.431910081863238,5.566071873304113,5.99419522524173,5.876814896158407,5.576007592165429,5.229512375350798,1.0590282189144584,0.23675731767141056,0.09072542235965521,-0.32599160108255465,-0.475202975475248,-1.2877380703262185,-1.2029623403839254,-1.5167408576737804,-1.7186686267208462,-1.465867940076886,-0.0987258011432051,-0.35230254479983875,-0.5706560568312303,-0.09013979630424367,0.3235076007047428,0.06204967334752067,0.25289807880573806,0.21607419050837168,0.7445956464455813,0.2949763857899599
Golden State,0.7804390268282557,1.5804666937530276,2.543627603250929,2.252575712828429,2.132438808450136,2.833948971290041,2.982726972725543,2.8926613297229045,2.5685974108987004,2.69289376006231,2.37698591056715,-4.0616250605067155,-4.460946216327828,-3.1688494914541474,-3.3009659080359417,-3.3289760275319797,-3.5918046224040387,-3.390178038050567,-3.738932740706523,-3.696645771647454,-3.8148676836169,-3.3765435153696197,-4.112131381036623,-3.6806552771135523,-3.075435342734611,-3.3331603922810964,-3.166330003073106,-3.358876907248848,-3.103222788931769,-3.354122997077374,-3.185674087649629,-2.9110390327444553,-2.7204173315883704,-2.6865508382997607,-2.3135397484663627,-2.767680993472003,-2.6066297895529105,-2.985149896024026,-2.545979040926392,-2.0498172460139656,-2.0069519105101468,-1.6698534997111172,-1.9626054656681922,-1.0976635070093925,-1.6585773380165167,-1.8664609571317317,-2.0695207484242215,-2.2936067331799506,-2.7071606400173374,-2.7657820065903453,-2.862326378859122
Houston,0.24881967570858401,2.696926768338167,2.9616168822590807,3.390668161288023,4.2451490144732125,5.052837025265074,5.482533856518066,4.913921901274308,4.5366178406179,5.044103050441813,4.6577556930313,2.4392476389585975,2.5476242885608777,2.1805800078783784,2.961944778284853,3.3125024048607736,3.28653332938406,3.62143619650845,3.395742680317763,3.6862915253534503,3.9582575676712572,1.0178910907610366,1.4006022223109702,0.7548791482993161,0.5411222496777912,0.6734647631627895,0.6122016421053513,0.5989991080513053,0.17425696325007656,0.1781156856905671,0.009832275838258561,0.6765812348203694,0.716656433886856,0.6636556708025827,0.7973088333921505,1.1545282380180293,1.5276174098460331,1.9925975709749757,2.2823365383964824,2.2014201462673184,2.40550790084123,1.1316007312761123,0.44231671974594977,0.25898893776378695,0.44389228531261077,0.5019502763183389,0.9061929120049937,1.3338306921565128,0.6977066822086069,0.4597797276253823,0.407283576517126
L.A. Lakers,-0.24437783689478793,5.861643550129144,6.389289096007118,6.927531144913528,7.342561757586448,7.183291440551311,7.05582386824368,7.250847734733413,6.702285557604309,6.983995863150571,7.554598672830976,8.580196236227865,8.223078858079845,8.116749123222645,8.044043929779368,7.789127391008867,7.668828400729305,7.504609116873166,7.185085134557127,7.13111419325238,7.296060045316282,6.522575964556474,6.5636504934225295,6.863062841350544,6.538331404987461,6.347891209167378,6.2942172047098195,6.010478835598628,5.457749864468159,5.26427596866088,4.89813777749376,6.082805226080528,6.123939280621953,6.593290112259995,5.807684355694096,5.877265217403813,6.20567093687403,6.277963567426111,6.414623109677368,6.226506202141791,5.9007339885343075,3.143919610176481,2.82351703320837,2.8551452148242884,2.9685365060985367,2.8972871860342493,2.741412846197191,2.253334804405037,2.653265258037555,2.4081292586466985,2.072187812991562
Portland,-1.324343903134295,1.4238278844328656,1.2936557938804283,0.2887837733156592,-0.2581423885753932,-0.11686875465069134,-0.3140268282074051,-0.33467466083618663,-0.6540429747371842,-0.7891192860340127,-0.5624821072169863,3.360997631689475,4.188608194330307,3.2977070384456737,3.328564228370275,3.487736036321471,3.6809352345997435,3.474710110938551,4.065835853833997,4.369935079896687,4.6042605402281085,3.1302718360905244,3.218774972959347,2.9897121574194974,2.759067016691788,3.0847573168980236,3.0767837925493606,2.99045726447518,3.265431319925534,3.259615097567168,2.9650982824148886,1.0130509745419,0.8959988171417337,0.37183236020180227,0.6221591864578355,0.3279377774504526,0.7608697095138768,1.4246293707430455,1.903765487079937,2.041704560938461,1.6601213013516927,4.586329240312791,3.349248806360143,1.7646516211036156,1.3702416029410645,1.143538390903845,1.278333354368523,0.9662718359649861,0.5921866245099595,-0.1696920919134938,-0.29889767630457686
San Antonio,0.7859842097446278,4.908859779916185,5.182339617609677,5.273442339356016,5.316363447011,4.97811603894117,4.330200655197046,4.84914170914579,5.579065506927323,5.056090558346129,5.273145784937613,1.9252572822761163,2.4912388427858407,2.798192259127966,3.524311854302,3.2587313758179484,3.652374899000281,3.490872465493089,3.3254973241119705,3.1247034617814924,3.1571523268015365,4.59662470900673,4.543267527273072,4.74499178093172,4.066336723340215,4.133131126132978,4.644966953414087,4.696290366819209,4.678904866699028,5.092500792448361,5.104400234905875,7.494261805780209,7.2317645621415405,6.925041952033769,6.899408902146232,6.951278990761711,6.654005933479505,6.348448064247445,5.9574586008468815,6.11625867457874,5.824943153463168,4.5505854566425255,4.405950529980433,4.433091890401737,4.645100629372331,5.246507482347865,5.711466754241922,5.915884932037462,6.033716120601814,7.357602275942821,7.642554479629938
Washington,0.0679097494964814,1.0409333901279114,-0.19402170998632381,-0.6857491101298404,-0.6951025789290579,-0.5434560070869274,-0.5659466286918149,-0.5080348147996764,-0.8925558373410952,-0.7430936799410505,-0.7225054370629388,-5.683393798898697,-6.841838828957024,-7.025549678518435,-7.197274259287896,-6.954375763518195,-6.983211669114768,-7.500136082405535,-7.412348964475934,-7.15274239393596,-7.023168921515309,-4.288012427072209,-4.309515066366468,-4.382480078411371,-3.9027074609535215,-4.515896544644387,-4.629061880517381,-4.6907515677389675,-4.93143585142646,-4.818917392752864,-4.747527976784465,-5.718669287377357,-5.8713916405737585,-5.675857627640548,-6.072906888433745,-6.4573179580833,-6.989391888690576,-7.347195790751983,-7.7591585369754155,-7.733929490223316,-7.29491937033187,-8.639533065364382,-8.3025629561701,-7.913234878689801,-7.302217241380818,-7.25634820131866,-6.76276230617839,-6.3407863276800684,-6.698780103123664,-5.987462468354386,-5.240162760927276
Indiana,0.5917360203722306,-1.7965627421232555,-2.131769179150436,-2.047790006497385,-2.407161381973571,-2.0725193836724376,-2.459391036011927,-2.132173956142928,-2.0697740539607596,-1.726701592371624,-1.882315041099213,-1.100424759847125,-1.3145082540051924,-0.9995243992363463,-1.1061422151758535,-0.8659559344149849,-1.3025310724006347,-1.3702468233733955,-1.3134831859803486,-0.8536786031938809,-0.7710765119192922,-5.488886665712518,-5.706111419993404,-5.408530814241133,-4.998940686708904,-5.320116576324653,-5.23660929248934,-4.49092065822076,-3.6373725938003525,-3.0065871999373903,-3.1156825755141546,-1.2448238251163932,-0.9639760358350266,-0.4730091385888977,-0.1915906518546218,-0.6687840599420873,-1.7221792773803561,-1.5584460166616085,-1.4399952316769384,-1.3299879246656559,-1.2936880213880007,1.8614491291594342,1.8104327078231193,2.6957828046093164,1.9327484791321856,2.046573468469339,2.126840351626084,2.0660724000017385,2.570690145592484,2.6434601640063446,2.8907929990672367
Dallas,0.6151304525782815,5.073545112992806,4.805666307794335,4.099907099347434,4.1293400277050605,3.8195311955726994,4.672110735196937,4.792814443956416,4.751450309405513,4.912224408392314,4.3221129812109575,0.02098474467826449,1.0583877521403449,0.867659231760977,0.8912730329897819,0.8922252316362839,1.0239733396553763,0.9457648610452509,1.0977116142226175,1.6328443894627194,1.8044522266671221,3.515033485441251,3.0846939935333824,1.9523050158074455,2.5960526805324884,2.7706229430854017,2.2149555444233107,1.808451617670863,2.1945873669507514,2.368749413128005,2.695895984899269,3.008137347364194,3.552305734697287,3.310137039476562,3.5402150986361236,3.9716116527704206,3.993185450380259,4.207638861262906,4.413470451811192,3.7162365645940736,4.564807436310854,3.6925217347402777,3.1073590818271426,2.1069797040169567,2.3657857617459253,2.3613402082319834,1.9310809502128001,1.9377523696314305,1.9346838863821934,2.083479189429089,1.6163157018554712
Cleveland,1.2042811332329597,-0.5684801845775012,-0.5221984887240956,-0.8755127889616711,-0.4578913656678677,-0.4111518104751348,-0.3992232907716659,-0.24294976394760545,-0.23862156473141724,-0.3127934921686479,-0.39530431508304137,10.384975980311545,9.934663864640289,9.526822495457733,9.779369788573286,9.211513936571647,8.796013779381221,8.670419496728085,9.024437384661823,8.466645546367157,8.803239468377045,6.092190365736748,6.7369606549730054,6.75898255779658,6.289854618221287,6.922136746301209,6.608975828813067,6.787254360078879,6.680118177873923,6.4260633486756955,6.193553373219555,-11.011568215096537,-11.074882022964392,-10.591806966195294,-10.005389031860396,-9.545951543511746,-9.64704437251011,-10.019828387720372,-9.496909830325052,-9.315302196162664,-9.01174584590473,-4.854246978209514,-4.778794032113991,-4.206830602075908,-4.2864172331924415,-5.2987608224313165,-6.503046990313623,-6.35917817118918,-6.413052756577278,-6.88456644415229,-7.37807553629664
Chicago,-0.4492453485871752,-2.9677148903713655,-3.340188446605333,-3.1606006012589734,-3.0173835827579865,-2.699049165611759,-2.5433888486467664,-2.7445954580527574,-2.8938742130799655,-3.310074703104452,-3.186748936947812,-2.7162145880853865,-1.4837568817172635,-1.411766991245885,-0.821800296966459,-1.172354470664311,-0.9787929626096555,-0.7906222364867156,-0.4521721420679076,-0.14241213109221273,-0.2324005640924606,-2.458881361282352,-2.3410357497817356,-1.7265990972442593,-1.310247390869502,-1.7917332257792487,-2.4974853068210408,-2.190969977871838,-2.2138928885561953,-2.1106376037559005,-1.7304260367168436,4.762179313997593,5.575214156553302,5.04401713966052,5.515273803414935,5.534782836064111,6.089028513742879,5.927916461369678,6.489959360346976,6.481425415061895,6.379982124526677,7.4178812650533414,7.636389037632574,8.001842091638427,8.161832879258164,7.699050819762903,7.226770569892296,7.285011139855212,7.084321321302794,7.129809453112309,6.888078372540318
Brooklyn,0.6105991377441226,-7.010655264059967,-7.09190822882645,-6.377183791568129,-5.831539684424666,-5.91672260449318,-5.873157608354865,-5.779208835630087,-5.713943192729784,-6.035683693580513,-5.8691340052078615,-4.381292647768141,-3.692061937505627,-3.058903036364351,-3.5375595696698845,-3.268397488153375,-3.303339093426188,-2.9788646963397385,-3.267122419684334,-2.85521552542467,-3.021865089596847,-13.061903223210674,-12.192316271119822,-11.980911059364516,-11.403622877562091,-11.082788250277451,-10.19189459385954,-10.46342234394537,-9.874715650101937,-9.44061873625886,-9.546465717287225,-6.220171441003633,-6.337717497363132,-6.548087116642811,-6.5374101687119355,-6.367216997693547,-6.182611977213957,-6.163839832952068,-6.428937169739255,-6.909314191603471,-6.958671992905187,-6.474174903978632,-6.496819719119009,-5.92069883847541,-6.755969723822244,-6.493605674403109,-6.0549182900393985,-5.998888175634034,-5.657860536936992,-5.91793217375902,-6.431328352752995
Philadelphia,0.4141750133438476,-2.6245418495507566,-1.7409689256172634,-1.185529377099148,-0.5023478076873396,0.12911794213462804,0.5437646295458086,0.5226567254643953,0.6153361673740397,0.52934969385205,0.3862758544426511,1.0511291007270047,0.9095757041101616,1.1791524783612743,0.8182604367186951,0.7359250785406156,0.43688435455055347,0.53317949221888,0.6204406965511222,0.1531717269998549,0.22348853719419717,-3.0397024434837983,-3.1013613472308097,-3.0379252532955987,-3.1473690739445397,-3.607022520773752,-3.7413893628549353,-4.008808860844578,-3.729872182174582,-4.151808962777613,-3.9237006493200437,-0.32658862272210937,0.1821065286146503,0.8655798916466302,1.1543858772583968,1.3315690645144789,1.141143539394763,1.1771080038689037,1.364596901589537,1.2259606108501284,0.771981047720851,6.130585239288731,6.455168489946404,6.263877906561708,6.11054353807914,5.966585606551203,5.236420785804324,4.228982901511364,3.8677450055189526,4.005040082766491,3.909855719732303
Toronto,-0.18146825514979784,3.2243761037696297,4.033796346623073,4.00674117281419,4.471902233141129,3.715735869409531,2.747580426959379,2.7175732142741467,2.599450967870752,2.595648341242315,2.4345819086380662,-1.2034166058417595,-1.8033623672888655,-1.8230410963617973,-2.186310595553784,-2.778265869638103,-2.923830293408016,-2.8128148645809787,-2.383620634637961,-2.6316226885404976,-2.5225544053119044,-0.66905530446391,-0.6960684453193189,-0.38391280144943923,-0.5659193241798379,-1.1936216133946012,-1.8916819160203218,-2.1184907925245464,-1.8958328848557253,-1.9728928878713563,-1.8756593455488226,-4.868330219827097,-5.497345514021098,-5.594061638328994,-5.5071598948123635,-5.629303283211006,-5.496183313645685,-5.728487922564133,-6.291849353625303,-6.258260281130961,-6.251354394922361,-5.301879954005649,-4.301038588086064,-4.859064997381146,-5.11499145467192,-4.311753697300752,-4.2976782545589804,-3.8612077190264875,-3.7746815716371427,-4.100267788454599,-3.7533961659922843
Memphis,-1.1165619099177853,-3.5482127279752675,-3.8641076630705795,-4.106624794217203,-4.804360735955809,-5.281116184848131,-5.853440973178773,-5.366246512024759,-5.301924167888042,-5.460602483408103,-5.830505368307857,-7.03004598747568,-6.920759268959706,-6.335015664188335,-6.476009070535041,-6.167486006434975,-6.38581812543156,-6.306197605924743,-6.078238733115832,-5.305586832456322,-5.24779868351515,0.4478941009273559,0.15959270322140992,-0.8892371101239361,-0.7319404151481845,-0.5568803924656757,-0.47556095091923606,-0.20633301648011346,-0.5879334393906024,-0.9738200224156042,-1.3511768864581526,0.7770955070373916,0.942578198126545,1.1636078883745857,1.3572640587557014,1.9313916543617535,1.6258410110891501,2.0567469472014306,2.333790496835446,2.654049260336243,2.601665715109728,2.6979856217071077,3.1477206716841377,2.7458257844229337,1.8989095708083008,1.9432100954513865,1.8161470320946924,2.461231022162395,2.207881488580913,2.2837974144865725,2.4073927819375562
Milwaukee,-0.25503450013648127,-5.810704287466949,-6.565684174658178,-6.578866897181487,-6.307394961012925,-6.170119143611688,-6.424369177406137,-6.443169483324056,-6.6719992134673705,-6.51825597676378,-7.0037227725889375,0.15440963599435278,-0.30729958542028735,0.03691111363982081,0.10875554807814924,-0.28504600670904684,-0.6915269916763523,-0.8365950923956147,-0.9117786267474927,-1.2103697336963128,-0.9043595874100185,-0.9941516241421636,-0.4364315270510215,-0.26084572916153914,-0.05552166692707543,0.7816054298886833,1.2978153047027614,1.193581377549663,1.1190308839028957,1.4135144838508074,1.1539329955634043,-0.9060361365826196,-0.7657497952793632,-1.5719230689477341,-1.2849765872347019,-1.572957787380687,-0.7195843903265077,-1.1313297563135454,-1.2192156606838769,-1.121742231941869,-1.0515621176261567,-2.333594039588413,-1.885426817233126,-0.963636935662965,-0.42550300773076066,-0.6519573589274863,-0.017669201609863575,0.08246094415061757,0.13695537042316047,-0.1366389187512917,-0.3908575676544815
Orlando,-1.4581615053784016,3.173599703283947,3.1179326091541526,3.414406067489154,3.383009066153807,4.332870434825849,4.405520987880277,4.387354116886112,4.32780846944208,4.489607387020021,4.6563944549856275,7.225826063060463,7.734445994247093,7.581667939019158,6.579839807184044,6.417005861293871,6.5626137327144205,6.907754066963108,7.061033850085906,6.98014239573501,6.3257567350813115,4.4812837438192386,5.040205192712727,5.110298913150785,5.481760406153377,5.887572196783562,6.406653418564147,6.597119487495438,6.603531851291151,6.835892611218747,7.210612652814112,5.465142449418494,4.970175880163217,5.049798683284709,5.432650584781512,5.476658763357838,5.043574388924678,5.067618832735087,4.882068333141866,4.731821903164997,4.728575752338646,1.4917022976853616,1.3523624853481706,1.9661329388180249,1.762972230451319,1.608850552411749,1.3293259428680142,1.3424907738383987,1.2972782101522897,0.6921814139293356,0.01883103496982204
Sacramento,0.06502927635039324,-2.3153634029410006,-1.9019805447114424,-1.4197378552491415,-2.1490302418261678,-2.478660830626483,-2.2786728491162265,-2.1862077435506513,-2.056442042565795,-1.8039227320536033,-1.8528830794157556,-8.458829950665141,-9.063411880850628,-9.128887844061039,-8.955811222069654,-8.793322618496548,-8.280190349249715,-8.164782256400153,-8.02642515504519,-8.687629403442928,-8.587318916820564,-3.575890600778953,-3.284532371478139,-3.223995883598988,-4.348230496902179,-3.90747691179753,-3.65782611868256,-3.5560017493558633,-4.0473324822559364,-3.8871138697353023,-4.110265437133647,-6.374390661472094,-5.041824991643103,-4.961171188139616,-5.405880637767551,-5.436018478988392,-5.520318245113023,-5.1888260382867655,-4.865117333305327,-4.881189699865096,-4.790869304029323,-6.208829881369393,-5.631978103503631,-6.497586154916164,-4.880754458719045,-4.814427960992963,-4.878348812703155,-5.315434664351391,-5.446082915127465,-5.3438858309888655,-5.038346259981743
